BP_threshold,horizon,n_train,n_test,base_rate_test,PRAS_AUC,PRAS_AUPRC,naive_AUC,naive_AUPRC,delta_AUC
5,3,313,1154,0.427209705372617,0.9036281005176865,0.8900756066808237,0.8737023318900309,0.8658740501444089,0.029925768627655613
5,5,313,1154,0.5008665511265165,0.8904027297193389,0.9010316785408784,0.845077614379085,0.8626795353265961,0.04532511534025385
10,3,313,1154,0.2738301559792028,0.8917404308026947,0.8149286753674407,0.8893047037853843,0.8192393662289671,0.0024357270173104295
10,5,313,1154,0.3379549393414211,0.9024533494428782,0.8479132843066084,0.8717579540877971,0.8261907190772521,0.030695395355081145
20,3,313,1154,0.14038128249566725,0.9228021704500201,0.8018612889201816,0.9282967443249701,0.8022078034263102,-0.005494573874950004
20,5,313,1154,0.18804159445407279,0.9122161619837799,0.7932607068053256,0.9042094339715436,0.7862567149557076,0.00800672801223623
