Drug,Year,n,min_idx,max_idx,pct_left,pct_right,pct_exact
Amikacin,2004,5663.0,-1.0,6.0,2.2249690976514214,2.9666254635352285,94.80840543881335
Amikacin,2005,5163.0,-1.0,6.0,2.8278132868487313,3.621925237265156,93.55026147588612
Amikacin,2006,11640.0,-1.0,6.0,2.774914089347079,4.080756013745704,93.14432989690722
Amikacin,2007,15341.0,-1.0,6.0,3.6699041783456097,5.482041587901701,90.84805423375269
Amikacin,2008,20187.0,-1.0,6.0,4.919007281914103,5.934512309902413,89.14648040818348
Amikacin,2009,22751.0,-1.0,6.0,5.14702650432948,6.527185618214584,88.32578787745594
Amikacin,2010,17900.0,-1.0,6.0,5.871508379888268,5.553072625698324,88.57541899441341
Amikacin,2011,12503.0,-1.0,6.0,2.8633128049268177,2.9752859313764697,94.16140126369672
Amikacin,2012,21714.0,-2.0,6.0,1.3585705075066776,4.098738141291332,94.542691351202
Amikacin,2013,31351.0,-2.0,6.0,1.1897547127683328,4.315651813339287,94.49459347389238
Amikacin,2014,33255.0,-2.0,6.0,1.0765298451360699,5.181175763043151,93.74229439182078
Amikacin,2015,32008.0,-2.0,6.0,1.2184453886528368,4.817545613596601,93.96400899775057
Amikacin,2016,36163.0,-2.0,6.0,1.3577413378314853,4.360810773442469,94.28144788872605
Amikacin,2017,32905.0,-2.0,6.0,1.4769791824950615,2.914450691384288,95.60857012612065
Amikacin,2018,26734.0,-2.0,6.0,0.5461210443629835,7.155681903194434,92.29819705244259
Amikacin,2019,31541.0,-2.0,6.0,0.7799372245648521,9.200722868647158,90.01933990678799
Amikacin,2020,33301.0,-2.0,6.0,0.465451487943305,9.510224918170625,90.02432359388607
Amikacin,2021,36096.0,-2.0,6.0,0.4820478723404255,10.023271276595745,89.49468085106383
Amikacin,2022,33823.0,-2.0,6.0,0.4168760902344558,9.147621441031252,90.4355024687343
Amikacin,2023,26218.0,-2.0,6.0,0.45007246929590355,8.559005263559387,90.99092226714471
