Species,Drug,Country,first_cross_year,years_before,PRAS,pct_above_ecoff,pct_above_bp
Enterobacter cloacae,Meropenem,Argentina,2017,1,0.2959037280580406,19.642857142857142,5.357142857142857
Enterobacter cloacae,Meropenem,Argentina,2017,2,0.22713164463451366,19.23076923076923,3.8461538461538463
Enterobacter cloacae,Meropenem,Argentina,2017,3,0.2583601173205726,23.07692307692308,3.8461538461538463
Enterobacter cloacae,Meropenem,Argentina,2017,4,0.06327452082710963,21.05263157894737,0.0
Enterobacter cloacae,Meropenem,Argentina,2017,5,0.06574662264162941,15.384615384615383,0.0
Enterobacter cloacae,Meropenem,Brazil,2019,1,0.10256655113906626,17.142857142857142,0.0
Enterobacter cloacae,Meropenem,Brazil,2019,2,0.10098975278814865,10.344827586206897,1.7241379310344829
Enterobacter cloacae,Meropenem,Brazil,2019,3,0.116112999916811,20.75471698113208,0.0
Enterobacter cloacae,Meropenem,Brazil,2019,4,0.09584175216009679,12.0,0.0
Enterobacter cloacae,Meropenem,Colombia,2017,1,0.604385705354716,35.294117647058826,8.823529411764707
Enterobacter cloacae,Meropenem,Colombia,2017,2,0.06673969252536767,3.0303030303030303,0.0
Enterobacter cloacae,Meropenem,Colombia,2017,3,0.40895191333748,27.58620689655172,3.4482758620689653
Enterobacter cloacae,Meropenem,Colombia,2017,4,0.49082337547066557,20.83333333333333,8.333333333333334
Enterobacter cloacae,Meropenem,Colombia,2017,5,0.0947445575595202,42.10526315789474,0.0
Enterobacter cloacae,Meropenem,Croatia,2018,1,0.6435885003002235,78.26086956521739,8.695652173913043
Enterobacter cloacae,Meropenem,Croatia,2018,2,0.20016170167902814,29.166666666666668,4.166666666666667
Enterobacter cloacae,Meropenem,Croatia,2018,3,0.11536590895120571,17.647058823529413,0.0
Enterobacter cloacae,Meropenem,Croatia,2018,4,0.13916304162689153,5.714285714285714,2.857142857142857
Enterobacter cloacae,Meropenem,Italy,2019,1,0.4330967487196546,19.29824561403509,7.017543859649122
Enterobacter cloacae,Meropenem,Italy,2019,2,0.22124801524687285,19.41176470588235,2.9411764705882355
Enterobacter cloacae,Meropenem,Italy,2019,3,0.1803127892526243,21.256038647342997,2.898550724637681
Enterobacter cloacae,Meropenem,Italy,2019,4,0.43941723690261475,22.33009708737864,7.281553398058253
Enterobacter cloacae,Meropenem,Italy,2019,5,0.1903159171088032,18.181818181818183,2.19435736677116
Enterobacter cloacae,Meropenem,Poland,2018,1,0.06020685327741766,4.3478260869565215,0.0
Enterobacter cloacae,Meropenem,Poland,2018,2,0.11857865887141526,23.529411764705884,0.0
Enterobacter cloacae,Meropenem,Poland,2018,3,0.10166734609210182,8.333333333333334,0.0
Enterobacter cloacae,Meropenem,Poland,2018,4,0.05594040669234822,22.916666666666668,0.0
Enterobacter cloacae,Meropenem,Thailand,2021,1,0.2082494133800618,15.384615384615383,3.8461538461538463
Enterobacter cloacae,Meropenem,Thailand,2021,2,0.17337020351368032,3.333333333333333,3.333333333333333
Enterobacter cloacae,Meropenem,Thailand,2021,3,0.23008413435389133,13.953488372093023,4.651162790697675
Enterobacter cloacae,Meropenem,Thailand,2021,4,0.13625143588243827,13.636363636363637,2.272727272727273
Enterobacter cloacae,Meropenem,Thailand,2021,5,0.4995877203436101,14.0,8.0
Escherichia coli,Meropenem,Jordan,2023,1,0.08104974624051829,0.0,0.0
Escherichia coli,Meropenem,Jordan,2023,2,0.150897904957153,4.0,4.0
Escherichia coli,Meropenem,Jordan,2023,3,0.1284550572096868,15.151515151515152,3.0303030303030303
Escherichia coli,Meropenem,Jordan,2023,5,0.0786737688656781,3.571428571428572,0.0
Klebsiella pneumoniae,Ceftazidime avibactam,Argentina,2020,1,0.20367702121137554,21.518987341772156,3.79746835443038
Klebsiella pneumoniae,Ceftazidime avibactam,Argentina,2020,2,0.164644469397907,24.41860465116279,2.3255813953488373
Klebsiella pneumoniae,Ceftazidime avibactam,Argentina,2020,3,0.08408221127303468,12.173913043478262,0.0
Klebsiella pneumoniae,Ceftazidime avibactam,Argentina,2020,4,0.10995149298552022,16.23931623931624,0.0
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,1,0.1603987006902406,6.993006993006993,2.097902097902098
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,2,0.5329452126079286,22.535211267605632,8.450704225352112
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,3,0.21196006013813867,23.1404958677686,4.132231404958677
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,4,0.1400659700385493,17.682926829268293,1.829268292682927
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,5,0.14316478464392673,13.043478260869565,1.7391304347826086
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,1,0.3016144655837126,26.47887323943662,3.943661971830986
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,2,0.52703852215087,41.84397163120568,6.382978723404255
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,3,0.2749824475152728,30.76923076923077,2.5641025641025643
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,4,0.16642392220244426,35.59322033898305,1.271186440677966
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,5,0.2023069413121491,35.751295336787564,1.5544041450777202
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,1,0.49061551503063455,10.784313725490197,8.823529411764707
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,2,0.1032885149308277,8.16326530612245,2.0408163265306123
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,3,0.21245794781897429,13.333333333333334,5.333333333333333
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,4,0.10208268840862358,5.737704918032787,1.639344262295082
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,5,0.08810232070506853,4.166666666666667,1.6666666666666667
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,1,0.25414512645421633,12.0,6.222222222222222
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,2,0.12488609564985718,11.16504854368932,2.912621359223301
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,3,0.07065917269489676,3.4722222222222223,0.6944444444444444
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,4,0.12101866015829313,5.555555555555555,2.7777777777777777
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,5,0.17795404805528928,6.111111111111111,4.444444444444445
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,1,0.5608633048664755,17.105263157894736,9.210526315789474
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,2,0.18724304710921208,24.390243902439025,3.658536585365854
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,3,0.2650120238374913,20.610687022900763,3.053435114503817
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,4,0.09720659080479661,16.49484536082474,1.0309278350515465
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,5,0.20004745364561274,30.952380952380956,3.571428571428572
Klebsiella pneumoniae,Ceftazidime avibactam,Romania,2020,1,0.4665377195677377,23.33333333333333,8.333333333333334
Klebsiella pneumoniae,Ceftazidime avibactam,Romania,2020,2,0.425042234154986,32.63157894736842,6.315789473684211
Klebsiella pneumoniae,Ceftazidime avibactam,Romania,2020,3,0.5124771677249425,11.428571428571429,8.571428571428571
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,1,0.2625669665691146,16.107382550335572,5.369127516778524
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,2,0.12407568929409182,9.25925925925926,2.7777777777777777
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,3,0.14258733955933298,11.904761904761903,3.571428571428572
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,4,0.13793821677511175,5.442176870748299,3.401360544217687
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,5,0.10763371276705368,2.962962962962963,2.2222222222222223
Klebsiella pneumoniae,Ceftazidime avibactam,Venezuela,2020,1,0.3767882454633891,9.67741935483871,8.064516129032258
Klebsiella pneumoniae,Ceftazidime avibactam,Venezuela,2020,2,0.13703718325177874,10.76923076923077,3.076923076923077
Klebsiella pneumoniae,Ceftazidime avibactam,Venezuela,2020,3,0.09274929534601772,6.542056074766355,1.8691588785046729
Klebsiella pneumoniae,Ceftazidime avibactam,Venezuela,2020,4,0.06573530386545459,6.542056074766355,0.0
Klebsiella pneumoniae,Imipenem,Chile,2021,1,0.13814475994848716,16.49484536082474,3.0927835051546397
Klebsiella pneumoniae,Imipenem,Chile,2021,2,0.07286631661413846,12.64367816091954,0.0
Klebsiella pneumoniae,Imipenem,Chile,2021,3,0.0657216013677658,3.125,0.0
Klebsiella pneumoniae,Imipenem,Chile,2021,4,0.0813062111409639,10.38961038961039,0.0
Klebsiella pneumoniae,Imipenem,Chile,2021,5,0.07798808983535388,12.06896551724138,0.0
Klebsiella pneumoniae,Imipenem,Hungary,2019,1,0.2011534468796167,8.75,5.0
Klebsiella pneumoniae,Imipenem,Hungary,2019,2,0.07828115166498151,7.339449541284404,0.0
Klebsiella pneumoniae,Imipenem,Hungary,2019,3,0.15314612700846852,8.333333333333334,1.851851851851852
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,1,0.25419848470697803,18.181818181818183,3.896103896103896
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,2,0.23625300347559616,11.976047904191615,3.592814371257485
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,3,0.10852444834309397,23.846153846153847,0.7692307692307693
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,4,0.25085590510877565,24.390243902439025,3.658536585365854
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,5,0.06910925884184758,13.6986301369863,0.0
Klebsiella pneumoniae,Imipenem,Kuwait,2020,1,0.23976812135317044,9.183673469387756,5.1020408163265305
Klebsiella pneumoniae,Imipenem,Kuwait,2020,2,0.34032705449197137,16.0,6.666666666666667
Klebsiella pneumoniae,Imipenem,Kuwait,2020,3,0.2125837610884862,12.295081967213116,4.918032786885246
Klebsiella pneumoniae,Imipenem,Kuwait,2020,4,0.20351635178435032,12.5,5.0
Klebsiella pneumoniae,Imipenem,Mexico,2021,1,0.40633408355056894,21.77777777777778,8.0
Klebsiella pneumoniae,Imipenem,Mexico,2021,2,0.4500286535113158,15.533980582524272,8.737864077669903
Klebsiella pneumoniae,Imipenem,Mexico,2021,3,0.07767354246954904,8.333333333333334,0.6944444444444444
Klebsiella pneumoniae,Imipenem,Mexico,2021,4,0.1589090703829125,11.11111111111111,3.333333333333333
Klebsiella pneumoniae,Imipenem,Mexico,2021,5,0.21602550603049156,9.444444444444445,5.555555555555555
Klebsiella pneumoniae,Imipenem,Portugal,2019,1,0.1917200331886696,16.091954022988507,4.597701149425287
Klebsiella pneumoniae,Imipenem,Portugal,2019,2,0.28932927707133566,13.333333333333334,6.0
Klebsiella pneumoniae,Imipenem,Portugal,2019,3,0.07254474155839274,2.5477707006369426,1.2738853503184713
Klebsiella pneumoniae,Imipenem,South Africa,2019,1,0.5902068528031171,23.80952380952381,9.523809523809524
Klebsiella pneumoniae,Imipenem,South Africa,2019,2,0.46282345084216564,22.448979591836736,8.16326530612245
Klebsiella pneumoniae,Imipenem,South Africa,2019,3,0.1726654176234277,18.51851851851852,3.703703703703704
Klebsiella pneumoniae,Imipenem,Spain,2020,1,0.2380198438801678,18.772563176895307,4.693140794223827
Klebsiella pneumoniae,Imipenem,Spain,2020,2,0.5380123211539296,17.431192660550458,8.715596330275229
Klebsiella pneumoniae,Imipenem,Spain,2020,3,0.3810269614441801,17.48878923766816,6.726457399103139
Klebsiella pneumoniae,Imipenem,Spain,2020,4,0.4496922974485544,22.80701754385965,8.771929824561404
Klebsiella pneumoniae,Meropenem,Austria,2015,1,0.10659120108927343,3.809523809523809,2.857142857142857
Klebsiella pneumoniae,Meropenem,Austria,2015,2,0.05694355289231758,1.96078431372549,0.0
Klebsiella pneumoniae,Meropenem,Austria,2015,3,0.04947022225726364,0.0,0.0
Klebsiella pneumoniae,Meropenem,Chile,2021,1,0.2936039715476281,34.02061855670103,4.123711340206185
Klebsiella pneumoniae,Meropenem,Chile,2021,2,0.1569290008619307,28.735632183908045,2.2988505747126435
Klebsiella pneumoniae,Meropenem,Chile,2021,3,0.11578460318130139,17.1875,0.0
Klebsiella pneumoniae,Meropenem,Chile,2021,4,0.10383093146150281,10.81081081081081,0.0
Klebsiella pneumoniae,Meropenem,Chile,2021,5,0.21452810556177185,23.870967741935484,2.5806451612903225
Klebsiella pneumoniae,Meropenem,Hungary,2022,1,0.08003813092035883,0.0,0.0
Klebsiella pneumoniae,Meropenem,Hungary,2022,2,0.25646803911506955,13.79310344827586,6.0344827586206895
Klebsiella pneumoniae,Meropenem,Hungary,2022,3,0.3056794226763369,17.94871794871795,6.410256410256411
Klebsiella pneumoniae,Meropenem,Hungary,2022,4,0.1472229044100241,6.25,3.75
Klebsiella pneumoniae,Meropenem,Hungary,2022,5,0.05861005055894138,8.391608391608392,0.0
