method,n,AUC,AUPRC
PRAS (Bayesian),832,0.8346929393148869,0.4483169972161991
PRAS (frequentist),832,0.8139032630543557,0.4316928677638223
%above-BP (current level),832,0.7157283068896205,0.34699007243587243
%above-ECOFF (level),832,0.759686524398067,0.3309140885114843
ECOFF velocity (3y),832,0.4785634862934611,0.1870840426859905
