model,n,AUC,AUPRC
Baseline 1: %above-BP only,1154,0.8717579540877971,0.8261907190772521
Baseline 2: %above-ECOFF only,1154,0.861263256812995,0.7557359722998719
Baseline 3: BP velocity only,1154,0.5955363135991408,0.5780718938061572
Baseline 4: E_now + BP_now,1154,0.8939824137468115,0.8448987195375288
PRAS (full 5 features),1154,0.9024533494428782,0.8479132843066084
PRAS Bayesian (5 features + pair RE),1154,0.909764733521278,0.8519385331784796
