Species,Drug,Country,y_event,y_PRAS_alert,y_NAIVE_alert,PRAS_lead_yrs,NAIVE_lead_yrs,savings_vs_naive
Enterobacter cloacae,Meropenem,Turkey,2009,,2009,,0,
Enterobacter cloacae,Meropenem,Venezuela,2008,,2008,,0,
Enterobacter cloacae,Meropenem,Vietnam,2015,,2015,,0,
Escherichia coli,Cefepime,Argentina,2019,,2018,,1,
Escherichia coli,Cefepime,Australia,2019,,2018,,1,
Escherichia coli,Cefepime,Brazil,2018,,2018,,0,
Escherichia coli,Cefepime,Bulgaria,2022,,2022,,0,
Escherichia coli,Cefepime,Cameroon,2020,,2020,,0,
Escherichia coli,Cefepime,Canada,2018,,2018,,0,
Escherichia coli,Cefepime,Chile,2018,,2018,,0,
Escherichia coli,Cefepime,China,2018,,2018,,0,
Escherichia coli,Cefepime,Colombia,2018,,2018,,0,
Escherichia coli,Cefepime,Costa Rica,2019,,2018,,1,
Escherichia coli,Cefepime,Croatia,2018,,2018,,0,
Escherichia coli,Cefepime,Czech Republic,2018,,2018,,0,
Escherichia coli,Cefepime,Denmark,2018,,2018,,0,
Escherichia coli,Cefepime,Dominican Republic,2018,,2018,,0,
Escherichia coli,Cefepime,Finland,2018,,2018,,0,
Escherichia coli,Cefepime,Germany,2018,,2018,,0,
Escherichia coli,Cefepime,Ghana,2021,,2021,,0,
Escherichia coli,Cefepime,Greece,2019,,2018,,1,
Escherichia coli,Cefepime,Guatemala,2018,,2018,,0,
Escherichia coli,Cefepime,Hong Kong,2019,,2019,,0,
Escherichia coli,Cefepime,Hungary,2019,,2018,,1,
Escherichia coli,Cefepime,India,2018,,2018,,0,
Escherichia coli,Cefepime,Israel,2018,,2018,,0,
Escherichia coli,Cefepime,Italy,2018,,2018,,0,
Escherichia coli,Cefepime,Ivory Coast,2020,,2020,,0,
Escherichia coli,Cefepime,Japan,2019,,2019,,0,
Escherichia coli,Cefepime,Jordan,2018,,2018,,0,
Escherichia coli,Cefepime,Kenya,2021,,2021,,0,
Escherichia coli,Cefepime,"Korea, South",2018,,2018,,0,
Escherichia coli,Cefepime,Kuwait,2018,,2018,,0,
Escherichia coli,Cefepime,Latvia,2018,,2018,,0,
Escherichia coli,Cefepime,Lithuania,2019,,2018,,1,
Escherichia coli,Cefepime,Malawi,2022,,2022,,0,
Escherichia coli,Cefepime,Malaysia,2018,,2018,,0,
Escherichia coli,Cefepime,Mexico,2018,,2018,,0,
Escherichia coli,Cefepime,Morocco,2018,,2018,,0,
Escherichia coli,Cefepime,Nigeria,2018,,2018,,0,
Escherichia coli,Cefepime,Panama,2018,,2018,,0,
Escherichia coli,Cefepime,Philippines,2018,,2018,,0,
Escherichia coli,Cefepime,Poland,2018,,2018,,0,
Escherichia coli,Cefepime,Portugal,2018,,2018,,0,
Escherichia coli,Cefepime,Qatar,2019,,2019,,0,
Escherichia coli,Cefepime,Romania,2018,,2018,,0,
Escherichia coli,Cefepime,Russia,2018,,2018,,0,
Escherichia coli,Cefepime,Saudi Arabia,2018,,2018,,0,
Escherichia coli,Cefepime,Singapore,2018,,2018,,0,
Escherichia coli,Cefepime,South Africa,2018,,2018,,0,
Escherichia coli,Cefepime,Sweden,2018,,2018,,0,
Escherichia coli,Cefepime,Switzerland,2018,,2018,,0,
Escherichia coli,Cefepime,Taiwan,2018,,2018,,0,
Escherichia coli,Cefepime,Thailand,2018,,2018,,0,
Escherichia coli,Cefepime,Turkey,2018,,2018,,0,
Escherichia coli,Cefepime,Uganda,2021,,2021,,0,
Escherichia coli,Cefepime,Ukraine,2018,,2018,,0,
Escherichia coli,Cefepime,United Kingdom,2023,,2018,,5,
Escherichia coli,Cefepime,Venezuela,2018,,2018,,0,
Escherichia coli,Ceftazidime avibactam,India,2018,,2018,,0,
Escherichia coli,Ceftazidime avibactam,Qatar,2023,2023.0,2023,0.0,0,0.0
Escherichia coli,Ceftazidime avibactam,Ukraine,2024,,2024,,0,
Escherichia coli,Ceftriaxone,Argentina,2005,,2004,,1,
Escherichia coli,Ceftriaxone,Australia,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Austria,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Belgium,2005,,2005,,0,
Escherichia coli,Ceftriaxone,Brazil,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Bulgaria,2009,,2009,,0,
Escherichia coli,Ceftriaxone,Canada,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Chile,2005,,2005,,0,
Escherichia coli,Ceftriaxone,China,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Colombia,2005,,2005,,0,
Escherichia coli,Ceftriaxone,Croatia,2008,,2006,,2,
Escherichia coli,Ceftriaxone,Czech Republic,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Denmark,2008,,2007,,1,
Escherichia coli,Ceftriaxone,Egypt,2011,,2011,,0,
Escherichia coli,Ceftriaxone,El Salvador,2009,,2009,,0,
