held_pair,n_train,n_test,n_pos_test,freq_AUC,freq_AUPRC,freq_Brier,bayes_AUC,bayes_AUPRC,bayes_Brier
Enterobacter cloacae × Meropenem,215,193,53,0.5595687331536389,0.4309266516829581,0.22132538599639387,0.584501347708895,0.44235899155672487,0.22196975300036867
Escherichia coli × Meropenem,205,223,4,0.8162100456621004,0.5223214285714286,0.024186596339548345,0.819634703196347,0.5227272727272727,0.023124556639675976
Klebsiella pneumoniae × Ceftazidime avibactam,313,129,47,0.8868707836014531,0.8291456358945173,0.1954321651809106,0.885313959522574,0.8256482164336617,0.1926699453693839
Klebsiella pneumoniae × Imipenem,313,129,82,0.899584846912299,0.9493737839735429,0.18749600954828338,0.8998443175921121,0.9498625143740105,0.1829509764366936
Klebsiella pneumoniae × Meropenem,206,220,126,0.8901553529213104,0.9210373533697773,0.2263778691787135,0.8908308004052685,0.9218988074217941,0.21961264890058668
Pseudomonas aeruginosa × Ceftazidime avibactam,313,130,78,0.845414201183432,0.903695701111364,0.1854575305895806,0.8476331360946745,0.9051188483434526,0.180084615447401
