mechanism,n_cells,n_isolates,median_NDM_pct,median_KPC_pct,mean_pct_above_BP,mean_PRAS
KPC-dominant,4,368,2.465834818775995,11.345029239766081,3.254976232917409,
NDM-dominant,22,1951,19.537558111083925,3.660369257191928,22.902460688588295,
OXA-dominant,4,452,0.4166666666666667,0.5836575875486382,0.8892671854734113,
Quiet (no major MBL/KPC),24,2521,0.0,0.0,2.7533403495389144,
